normalized_name,parent_cik,parent_name,source_year,decided_by,decided_at,note
seagate recording media,1137789,Seagate Technology Holdings plc,,deepseek/deepseek-v4-flash,2026-07-27,"Seagate Recording Media is a division of Seagate Technology, a public company."
wal mart distribution center,104169,Walmart Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Wal-Mart Distribution Center is part of Walmart Inc., a public company."
geo secure services llc western region detention facility,1060391,"The GEO Group, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"GEO Secure Services is a subsidiary of The GEO Group, a publicly traded company."
cypress fairbanks medical center,860730,HCA Healthcare Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Cypress Fairbanks Medical Center is a hospital likely owned by HCA Healthcare.
fedex supply chain logistics electronics ft worth,1048911,FedEx Corporation,,deepseek/deepseek-v4-flash,2026-07-27,FedEx Supply Chain is a subsidiary of FedEx Corporation.
holland america line,815097,CARNIVAL CORPORATION & PLC,,deepseek/deepseek-v4-flash,2026-07-27,"Cruise line, wholly owned by Carnival Corporation"
midway hospital medical center tenet california,70318,TENET HEALTHCARE CORP,,deepseek/deepseek-v4-flash,2026-07-27,"Hospital, part of Tenet Healthcare"
freeport mcmoran sierrita,831259,Freeport-McMoRan Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Freeport-McMoRan Sierrita Inc. is a subsidiary of Freeport-McMoRan Inc.
unitedhealthcare community state,731766,UnitedHealth Group Incorporated,,deepseek/deepseek-v4-flash,2026-07-27,"UnitedHealthcare is a division of UnitedHealth Group, a public company."
john deere foundry east moline,315189,Deere & Company,,deepseek/deepseek-v4-flash,2026-07-27,John Deere is a public company; this facility is part of Deere & Company.
netflixcs,1065280,Netflix Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Netflix is a public company; this appears to be a customer service operation under Netflix, Inc."
vf jeanswear russellville,103379,VF Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"VF Jeanswear is a division of VF Corporation, a public company."
adt security services,833444,Tyco International plc,,deepseek/deepseek-v4-flash,2026-07-27,ADT Security Services was a subsidiary of Tyco International
briggs stratton power group,14195,Briggs & Stratton Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Briggs & Stratton Power Group LLC was a subsidiary of Briggs & Stratton Corporation
marriott marquis chicago,1048286,"Marriott International, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Marriott Marquis Chicago is operated by a subsidiary of Marriott International.
aramark sports entertainment llc honda center,1584509,Aramark,,deepseek/deepseek-v4-flash,2026-07-27,"Aramark Sports & Entertainment is a division of Aramark, a public company. Parent CIK from the EDGAR roster (exact:listed)."
aramark healthcare services,1584509,Aramark,,deepseek/deepseek-v4-flash,2026-07-27,"Subsidiary of Aramark, a public company. Parent CIK from the EDGAR roster (exact:listed)."
propetro hydraulic fracturing,1680247,ProPetro Holding Corp.,,deepseek/deepseek-v4-flash,2026-07-27,"ProPetro-Hydraulic Fracturing is a subsidiary of ProPetro Holding Corp., a public company. Parent CIK from the EDGAR roster (exact)."
manpower group us inc dba hellofresh,871763,ManpowerGroup Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Subsidiary of publicly traded ManpowerGroup Inc. Parent CIK from the EDGAR roster (exact).
american general life companies,5272,"American International Group, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Subsidiary of AIG. Parent CIK from the EDGAR roster (exact:listed).
citimortgage inc 7159 corklan dr jacksonville fl 32202,831001,Citigroup Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"CitiMortgage is a subsidiary of Citigroup, a publicly traded company."
adient usa,1670541,Adient plc,,deepseek/deepseek-v4-flash,2026-07-27,"Adient USA LLC is a subsidiary of Adient plc, which files with SEC."
heinz north america,1637459,The Kraft Heinz Company,,deepseek/deepseek-v4-flash,2026-07-27,"Heinz North America is a division of The Kraft Heinz Company, a public company."
h r block mortgage,12659,"H&R Block, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,H & R Block Mortgage Corporation is a subsidiary of H&R Block.
marriott services inc rancho las palmas marriot,1048286,"Marriott International, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Marriott Services Inc. operates a Marriott hotel; Marriott International is the public parent.
sw hotels resorts ww llc sheraton boston hotel,1048286,"Marriott International, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"SW Hotels & Resorts operates a Sheraton hotel, which is owned by Marriott."
john deere davenport works,315189,Deere & Company,,deepseek/deepseek-v4-flash,2026-07-27,"John Deere Davenport Works is a factory of Deere & Company, a public company."
ritz carlton chicago,1048286,"Marriott International, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Ritz-Carlton hotel operated by Marriott subsidiary.
marriott payroll servies llc the boston marriott copley place hotel,1048286,Marriott International Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Marriott Payroll Services LLC is a payroll entity for Marriott hotels, owned by Marriott International. Parent CIK from the EDGAR roster (exact)."
vanity fair intimates,1067983,Berkshire Hathaway Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Vanity Fair Intimates is part of Fruit of the Loom, a Berkshire Hathaway subsidiary. Parent CIK from the EDGAR roster (exact:listed)."
bell helicopter s norwood,217346,Textron Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Bell Helicopter is a division of Textron Inc., a public company"
northrop grumman technical,1133421,Northrop Grumman Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Division of publicly traded Northrop Grumman.
aladdin mills,851968,"Mohawk Industries, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Aladdin Mills was acquired by Mohawk Industries in 1994; Mohawk files with SEC.
hsbc card and retail services,1089113,HSBC Holdings plc,,deepseek/deepseek-v4-flash,2026-07-27,"HSBC Card and Retail Services is a division of HSBC, which is publicly traded. Parent CIK from the EDGAR roster (exact:listed)."
ball metal food household products,9389,Ball Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Ball Metal Food & Household Products is a division of Ball Corporation, a publicly traded company. Parent CIK from the EDGAR roster (exact:listed)."
fluor fernald,1124198,Fluor Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Fluor Fernald was a subsidiary of Fluor Corporation. Parent CIK from the EDGAR roster (exact).
panasonic automotive systems,63271,Panasonic Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Panasonic Automotive Systems is a subsidiary of Panasonic Corp., a publicly traded company. Parent CIK from the EDGAR roster (exact)."
pepsi beverages,77476,"PepsiCo, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Beverage division of publicly traded PepsiCo
joann stores support center,1834585,Joann Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Joann Stores Support Center is likely a subsidiary of Joann Inc., a former public company. Parent CIK from the EDGAR roster (exact)."
sprint lawrence,101830,Sprint Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Sprint-Lawrence is likely a subsidiary of Sprint, which was a public telecom company. Parent CIK from the EDGAR roster (exact)."
ltf club management company llc dba life time covid19,1869198,"Life Time Group Holdings, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"LTF Club Management Company is a subsidiary of Life Time, a public fitness company. Parent CIK from the EDGAR roster (exact)."
bae systems technology solutions services,895564,BAE Systems plc,,deepseek/deepseek-v4-flash,2026-07-27,BAE Systems Technology Solutions & Services Inc. is a US subsidiary of BAE Systems. Parent CIK from the EDGAR roster (exact).
emerson power transmission,32604,Emerson Electric Co.,,deepseek/deepseek-v4-flash,2026-07-27,"Division of Emerson Electric, a public company."
honeywell intelligrated,773840,Honeywell International Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Honeywell Intelligrated is a subsidiary of Honeywell International.
westrock services,1597672,WestRock Company,,deepseek/deepseek-v4-flash,2026-07-27,"WestRock Services, LLC is a subsidiary of WestRock, a public company."
schneider logistics transloading and,1692063,"Schneider National, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Schneider Logistics Transloading is a division of Schneider National, a public company. Parent CIK from the EDGAR roster (exact)."
faurecia highland park jit,1559444,Faurecia SE,,deepseek/deepseek-v4-flash,2026-07-27,"Faurecia Highland Park is a subsidiary of Faurecia, a French public company. Parent CIK from the EDGAR roster (exact)."
sprint pcs customer solution center,101830,Sprint Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Sprint PCS Customer Solution Center was part of Sprint Corporation. Parent CIK from the EDGAR roster (exact).
thomson learning,1075124,The Thomson Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Thomson Learning was a subsidiary of The Thomson Corporation (now Thomson Reuters). Parent CIK from the EDGAR roster (exact:listed).
hollywood palladium a subsidiary of live nation entertainment,1335258,"Live Nation Entertainment, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Listed as subsidiary of Live Nation Entertainment.
vanity fair intimates atmore,103379,VF Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Vanity Fair Intimates is a brand of VF Corporation, a public company."
gm global tech center,1467858,General Motors Company,,deepseek/deepseek-v4-flash,2026-07-27,"GM Global Tech Center is a facility of General Motors, a public company."
park hyatt aviara resort golf club,1468174,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Park Hyatt Aviara Resort is a hotel owned by Hyatt Hotels Corp. Parent CIK from the EDGAR roster (exact).
fluor b w portsmouth,1124198,Fluor Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Fluor B&W Portsmouth LLC is a joint venture, with Fluor as a parent. Parent CIK from the EDGAR roster (exact)."
oracle usa,1341439,Oracle Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Oracle USA, Inc. is a subsidiary of Oracle Corporation, a public company."
ge aircraft engines,40545,General Electric Company,,deepseek/deepseek-v4-flash,2026-07-27,Division of General Electric.
sikorsky a,936468,Lockheed Martin Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Sikorsky is a helicopter manufacturer, subsidiary of Lockheed Martin"
northshore mining silver bay babbitt 2022,764065,Cleveland-Cliffs Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Subsidiary of publicly traded Cleveland-Cliffs Inc.
grand lux cafe,887596,The Cheesecake Factory Incorporated,,deepseek/deepseek-v4-flash,2026-07-27,"Grand Lux Cafe is owned by The Cheesecake Factory, a publicly traded company. Parent CIK from the EDGAR roster (exact)."
cubic applications,26076,Cubic Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Cubic Applications is a subsidiary of publicly traded Cubic Corporation. Parent CIK from the EDGAR roster (exact).
aegon insurance group,1090727,Aegon N.V.,,deepseek/deepseek-v4-flash,2026-07-27,Aegon Insurance Group is a subsidiary of the Dutch public company Aegon.
siemens energy automation,1173786,Siemens AG,,deepseek/deepseek-v4-flash,2026-07-27,US subsidiary of German conglomerate Siemens. Parent CIK from the EDGAR roster (suffix).
miami beach edition,1048286,Marriott International Inc.,,deepseek/deepseek-v4-flash,2026-07-27,EDITION hotel brand owned by Marriott; likely subsidiary. Parent CIK from the EDGAR roster (exact).
lowe s hiw,60667,"Lowe's Companies, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Lowe's HIW, Inc. is a subsidiary of Lowe's Companies, Inc., a publicly traded home improvement retailer."
sbc ameritech,732717,AT&T Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Subsidiary of SBC Communications (now AT&T). Parent CIK from the EDGAR roster (exact:listed).
milgard manufacturing,62996,Masco Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Milgard is a wholly-owned subsidiary of Masco Corporation.
northrop grumman technology services,1133421,Northrop Grumman Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Northrop Grumman Technology Services is a business unit of Northrop Grumman Corporation.
united space alliance,12927,The Boeing Company,,deepseek/deepseek-v4-flash,2026-07-27,Joint venture between Boeing and Lockheed Martin for space operations.
safran labinal power systems,1364012,Safran,,deepseek/deepseek-v4-flash,2026-07-27,French aerospace company; Labinal Power Systems is a Safran subsidiary Parent CIK from the EDGAR roster (exact).
chrysler financial,1513153,Chrysler Group LLC,,deepseek/deepseek-v4-flash,2026-07-27,"Financial arm of Chrysler, then privately held. Parent CIK from the EDGAR roster (exact)."
american airlines customer reservations center,6201,AMR Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Reservations center of American Airlines' parent at the time.
espn zone,1744489,Walt Disney Company,,deepseek/deepseek-v4-flash,2026-07-27,"ESPN Zone is owned by ESPN, a subsidiary of Walt Disney Company."
hyatt regency o hare rosemont,1467858,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Hyatt Regency O'Hare-Rosemont is a hotel owned by Hyatt Hotels Corporation.
campbells soup supply,16732,Campbell Soup Company,,deepseek/deepseek-v4-flash,2026-07-27,Supply chain subsidiary of Campbell Soup.
blue sky studios,356364,Twentieth Century Fox Film Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Blue Sky Studios was a subsidiary of 20th Century Fox. Parent CIK from the EDGAR roster (exact:post-era).
bluesky studio,356364,Twentieth Century Fox Film Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"BlueSky Studio Inc. is likely the same as Blue Sky Studios, a subsidiary of 20th Century Fox. Parent CIK from the EDGAR roster (exact:post-era)."
macy s east central headquarters,794367,"Macy's, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Macy's East is a division of Macy's, Inc., a public company."
avis budget rental services,723612,"Avis Budget Group, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Avis Budget Rental Services Inc. is a subsidiary of Avis Budget Group, a public company."
transamerica life,769218,Aegon N.V.,,deepseek/deepseek-v4-flash,2026-07-27,Transamerica Life Insurance Company is a subsidiary of Aegon; automatic matcher found it as a candidate but refused due to incompatible tokens. Parent CIK from the EDGAR roster (exact).
vestas blades america,1330306,Vestas Wind Systems A/S,,deepseek/deepseek-v4-flash,2026-07-27,Vestas Blades America is a subsidiary of the Danish wind turbine manufacturer. Parent CIK from the EDGAR roster (listed-extension).
hyatt regency long beach,1468174,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Hyatt Regency Long Beach is operated by a subsidiary of Hyatt Hotels Corporation.
home depot bath and remodeling inc,354950,"The Home Depot, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Bath and remodeling division of The Home Depot.
northrop grumman technology,1133421,Northrop Grumman Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Division of Northrop Grumman, as indicated by refused candidate."
broadspectrum downstream services,1468522,Ferrovial S.A.,,deepseek/deepseek-v4-flash,2026-07-27,"Broadspectrum was a subsidiary of Ferrovial, a Spanish public company. Parent CIK from the EDGAR roster (exact)."
hyatt regency scottsdale resort spa at gainey ra,1468174,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"The Hyatt Regency Scottsdale is owned and operated by Hyatt Hotels Corporation, a public company."
alcoa wenatchee,4281,Alcoa Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Alcoa-Wenatchee is a facility of Alcoa Corp. Parent CIK from the EDGAR roster (exact).
at t consumer communications services,5907,AT&T Inc.,,deepseek/deepseek-v4-flash,2026-07-27,AT&T Consumer Communications Services is a division of AT&T Inc. Parent CIK from the EDGAR roster (exact).
sodexo services,1169715,Sodexo S.A.,,deepseek/deepseek-v4-flash,2026-07-27,"Sodexo Services is part of Sodexo, a French multinational, which is not an SEC registrant. Parent CIK from the EDGAR roster (exact)."
owens corning masonry products,1370946,Owens Corning,,deepseek/deepseek-v4-flash,2026-07-27,"Division of Owens Corning, a publicly traded company. Parent CIK from the EDGAR roster (exact)."
moen,1519751,"Fortune Brands Home & Security, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Subsidiary of Fortune Brands Home & Security, a publicly traded company. Parent CIK from the EDGAR roster (exact)."
nbc universal media,1166691,Comcast Corporation,,deepseek/deepseek-v4-flash,2026-07-27,NBCUniversal is a subsidiary of Comcast Corporation.
walmart midland,104169,Walmart Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Walmart store owned by Walmart Inc.
arcelormittal cleveland inc arcelormittal usa,1232582,ArcelorMittal,,deepseek/deepseek-v4-flash,2026-07-27,"ArcelorMittal Cleveland, Inc is a subsidiary of ArcelorMittal, a public company."
gmac mortgage,40730,General Motors Company,,deepseek/deepseek-v4-flash,2026-07-27,GMAC Mortgage was a subsidiary of General Motors. Parent CIK from the EDGAR roster (exact).
honeywell autolite,773840,Honeywell International Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Autolite brand operated under Honeywell at the time. Parent CIK from the EDGAR roster (exact).
dupont performance elastomer,1666700,"DuPont de Nemours, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,DuPont Performance Elastomer is a subsidiary of DuPont.
nordstrom trunk club,72333,"Nordstrom, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Nordstrom Trunk Club is a subsidiary of Nordstrom, Inc., a public company. Parent CIK from the EDGAR roster (exact)."
general motors stamping plant,1467858,General Motors Company,,deepseek/deepseek-v4-flash,2026-07-27,Plant of General Motors Company.
gm lansing grand river ass y plant,1467858,General Motors Company,,deepseek/deepseek-v4-flash,2026-07-27,Plant of General Motors Company.
kellogg s snacks,55067,Kellogg Company,,deepseek/deepseek-v4-flash,2026-07-27,Division of Kellogg Company.
molex fiber optics,67472,Molex Incorporated,,deepseek/deepseek-v4-flash,2026-07-27,"Molex Fiber Optics is a subsidiary of Molex, which was a public company at the time. Parent CIK from the EDGAR roster (exact)."
centene management corporation dba kentucky spirit health plan,1071739,Centene Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Centene Management is a subsidiary of Centene, a public managed care company. Parent CIK from the EDGAR roster (exact)."
masco bath,62996,Masco Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Masco Bath is a division of Masco Corporation, a public company."
united technologies automotive engineered systems div,101829,United Technologies Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Division of public company United Technologies.
at t material management services,732717,AT&T Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"AT&T Material Management Services is a division of AT&T, a public company."
restaurant associates,1144980,Compass Group PLC,,deepseek/deepseek-v4-flash,2026-07-27,"Restaurant Associates is a subsidiary of Compass Group, a public company."
kitty hawk international inc ft worth,932110,"Kitty Hawk, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Kitty Hawk International was a subsidiary of Kitty Hawk, Inc., a public company. Parent CIK from the EDGAR roster (exact)."
charter communications customer contact center,1091667,Charter Communications Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Charter Communications Customer Contact Center is part of public Charter Communications.
fedex kinko s,1048911,FedEx Corporation,,deepseek/deepseek-v4-flash,2026-07-27,FedEx/Kinko's is a subsidiary of FedEx Corporation.
kenworth trucking,75362,PACCAR Inc,,deepseek/deepseek-v4-flash,2026-07-27,Kenworth Trucking is a brand of PACCAR Inc.
sodexo inc,1169715,Sodexo SA,,deepseek/deepseek-v4-flash,2026-07-27,"Sodexo, Inc. is a US subsidiary of Sodexo SA, which files with SEC as a foreign private issuer."
walmart store 3463,104169,Walmart Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Walmart Store #3463 is a corporate-owned store of Walmart Inc., a public company."
hsbc auto finance,1089113,HSBC Holdings plc,,deepseek/deepseek-v4-flash,2026-07-27,"HSBC Auto Finance is a division of HSBC, a public company registered with the SEC. Parent CIK from the EDGAR roster (exact:listed)."
lpl financial,1397911,LPL Financial Holdings Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"LPL Financial LLC is the operating subsidiary of LPL Financial Holdings Inc., which files with the SEC."
el dorado national california,1687221,"REV Group, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"El Dorado National is a subsidiary of REV Group, a public company. Parent CIK from the EDGAR roster (exact)."
learjet bombardier,878334,Bombardier Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Learjet is a brand of Bombardier Inc., a public company. Parent CIK from the EDGAR roster (exact:post-era)."
lockheed martin space systems co mrl bldg 54915 cape canaveral a f station fl 32920,936468,Lockheed Martin Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Lockheed Martin Space Systems is a division of Lockheed Martin Corp., a public company."
medtronic cardiopulmonary,64670,Medtronic plc,,deepseek/deepseek-v4-flash,2026-07-27,"Medtronic Cardiopulmonary is a division of Medtronic plc, a public company. Parent CIK from the EDGAR roster (exact)."
xerox commercial solutioins,108772,Xerox Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Xerox Commercial Solutions is a division of publicly traded Xerox Corporation.
darden restaurants inc olive garden,940944,"Darden Restaurants, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Olive Garden is a chain owned by publicly traded Darden Restaurants.
3m touch systems,66740,3M Company,,deepseek/deepseek-v4-flash,2026-07-27,3M Touch Systems is a division or subsidiary of publicly traded 3M Company.
monterey park hospital tenet california,70318,Tenet Healthcare Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Monterey Park Hospital is part of Tenet Healthcare, a publicly traded company. Parent CIK from the EDGAR roster (exact)."
optum care,731766,UnitedHealth Group Incorporated,,deepseek/deepseek-v4-flash,2026-07-27,"Optum Care is a subsidiary of UnitedHealth Group, a public company."
sam s town hotel casino,906553,Boyd Gaming Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Sam's Town is a brand of Boyd Gaming. Parent CIK from the EDGAR roster (exact).
shutterfly lifetouch,1125920,Shutterfly Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Shutterfly Lifetouch is a subsidiary of Shutterfly Inc., a publicly traded company."
aramark at usc galen center,1584509,Aramark,,deepseek/deepseek-v4-flash,2026-07-27,Aramark is a public company; this is a specific site division. Parent CIK from the EDGAR roster (exact).
johnson johnson consumer products,200406,Johnson & Johnson,,deepseek/deepseek-v4-flash,2026-07-27,Division of public company Johnson & Johnson.
adecco at air fayre usa,1446251,Adecco Group AG,,deepseek/deepseek-v4-flash,2026-07-27,"Adecco is a global staffing firm, parent is Adecco Group AG Parent CIK from the EDGAR roster (exact)."
o p i products,1024305,Coty Inc.,,deepseek/deepseek-v4-flash,2026-07-27,OPI Products Inc. is a subsidiary of publicly traded Coty Inc. Parent CIK from the EDGAR roster (exact).
envoy,6201,American Airlines Group Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Envoy Air is a wholly owned subsidiary of American Airlines Group. Parent CIK from the EDGAR roster (exact).
flint hills resources,923338,Koch Industries,,deepseek/deepseek-v4-flash,2026-07-27,"Flint Hills Resources is a wholly owned subsidiary of Koch Industries, a private company. Parent CIK from the EDGAR roster (exact)."
macy s west,794367,Macy's Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Macy's West is a division of Macy's Inc., which is a public company that files with the SEC."
trinity rail trinity tank car jordan valley,101538,Trinity Industries Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Trinity Rail is a subsidiary of Trinity Industries Inc., which is a public company."
williamson dickie manufacturing company2,103379,VF Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Workwear manufacturer, subsidiary of publicly traded VF Corporation."
kellogg s keebler company macon bakery,55067,Kellogg Company,,deepseek/deepseek-v4-flash,2026-07-27,The Keebler Company is a subsidiary of Kellogg Company.
lsc communications us llc,1669812,LSC Communications Inc,,deepseek/deepseek-v4-flash,2026-07-27,Automatic match found LSC Communications Inc but refused due to token mismatch; filed entity is a subsidiary.
advance stores company jeffersonville,1158449,"Advance Auto Parts, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Advance Stores Company is a subsidiary of Advance Auto Parts, a public company."
takeda pharmaceuticals usa,1395064,Takeda Pharmaceutical Company Limited,,deepseek/deepseek-v4-flash,2026-07-27,Takeda Pharmaceuticals USA is a U.S. subsidiary of Takeda Pharmaceutical Company Limited. Parent CIK from the EDGAR roster (exact:listed).
volt service group,884121,"Volt Information Sciences, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Volt Service Group likely a subsidiary of Volt Information Sciences, Inc., a public company."
conseco services,1224608,CNO Financial Group,,deepseek/deepseek-v4-flash,2026-07-27,"Conseco Services, LLC is part of CNO Financial Group (formerly Conseco)."
technicolor creative services usa,1080259,Technicolor SA,,deepseek/deepseek-v4-flash,2026-07-27,"Subsidiary of Technicolor SA, a French company. Parent CIK from the EDGAR roster (exact:post-era)."
jbl professional,800459,"Harman International Industries, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Division of Harman, which was a public company at the time. Parent CIK from the EDGAR roster (exact)."
blockbuster distribution center mckinney,1001082,Dish Network Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Blockbuster was acquired by Dish Network in 2011.
crothall laundry services,1317627,Compass Group PLC,,deepseek/deepseek-v4-flash,2026-07-27,Crothall Laundry Services is a division of Compass Group Parent CIK from the EDGAR roster (exact).
delta global services,27904,"Delta Air Lines, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Delta Global Services is a subsidiary of Delta Air Lines.
actavis laboratories,1551152,AbbVie Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Actavis Laboratories is a subsidiary of AbbVie (formerly Allergan/Actavis).
sanofi aventis u s,1121404,Sanofi,,deepseek/deepseek-v4-flash,2026-07-27,U.S. subsidiary of French pharmaceutical company Sanofi.
home loan center inc lendingtree loans,1013237,"LendingTree, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Home Loan Center is part of LendingTree, a public company (CIK 0001013237)."
shaw industries plant 07,1067983,Berkshire Hathaway Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Shaw Industries is a subsidiary of Berkshire Hathaway.
emery worldwide airlines 1904 n w 97th avenue miami fl 33172,1022581,Consolidated Freightways Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Emery Worldwide Airlines was a subsidiary of Consolidated Freightways. Parent CIK from the EDGAR roster (exact).
carlisle tire wheel,790051,Carlisle Companies Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Carlisle Tire & Wheel Co. was a subsidiary of Carlisle Companies, a public company. Parent CIK from the EDGAR roster (exact)."
chevron gulf of mexico,93410,Chevron Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Chevron Gulf of Mexico is a subsidiary of Chevron Corporation, a public company."
hyatt regency columbus,1468174,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Hyatt Regency Columbus is a hotel operated by Hyatt, which is publicly traded."
hyatt regency mccormick,1468174,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Hyatt Regency McCormick is a Hyatt hotel, subsidiary of Hyatt Hotels Corporation."
united technologies automotive,101829,United Technologies Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Division of United Technologies Corporation, which files with SEC."
adt security services inc 9000 town center parkway bradenton fl 34202,833444,Tyco International Ltd.,,deepseek/deepseek-v4-flash,2026-07-27,ADT was a subsidiary of Tyco International at the time.
fedex supply chain inc s,1048911,FedEx Corporation,,deepseek/deepseek-v4-flash,2026-07-27,FedEx Supply Chain is a subsidiary of FedEx Corp. Parent CIK from the EDGAR roster (exact).
dana commercial vehicle manufacturing,26780,Dana Incorporated,,deepseek/deepseek-v4-flash,2026-07-27,Dana Commercial Vehicle Manufacturing is a subsidiary of Dana Inc. Parent CIK from the EDGAR roster (exact).
john deere des moines works,315189,Deere & Company,,deepseek/deepseek-v4-flash,2026-07-27,John Deere Des Moines Works is a manufacturing facility of Deere & Company.
sikorsky naval air stat whiting field milton fl 32570,936468,Lockheed Martin Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Sikorsky Aircraft is a subsidiary of Lockheed Martin, a public company."
georgia pacific wood products talladega,923338,"Koch Industries, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Georgia-Pacific is a subsidiary of Koch Industries, which is privately held. Parent CIK from the EDGAR roster (exact)."
hilton baltimore convention center hotel,1585689,Hilton Worldwide Holdings Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Hilton Baltimore is a hotel property of Hilton Worldwide.
