normalized_name,employer_name,states,notices,workers,years,stance,proposed,matched_cik,cik_match,parent_name,parent_cik,confidence,corroborated_by,outcome,gate,note
ias logistics dfw llc d b a pinnacle logistics,"IAS Logistics DFW, LLC d/b/a Pinnacle Logistics",MD,1,1609,2020-2020,private,,,,,,0.85,,staged,existing override,"Private logistics company, not publicly traded."
health midwest menorah medical center,Health Midwest - Menorah Medical Center,KS,2,1606,2001-2001,private,,,,,,0.85,,staged,existing override,"Non-profit hospital system, not publicly traded."
rw constructors,"RW Constructors, LLC",IA,1,1606,2015-2015,private,,,,,,0.85,,staged,existing override,"Private construction company, not publicly traded."
sportservice,Sportservice Corporation,TX|WI,2,1603,2002-2002,subsidiary,,,,Delaware North Companies,,0.8,,staged,existing override,"Subsidiary of Delaware North Companies, which is privately held."
us dept of commerce census bureau,Us Dept.of Commerce - Census Bureau,GA,1,1600,2000-2000,government,,,,,,0.99,,staged,existing override,U.S. federal government agency.
zf axle drives marysville,ZF Axle Drives Marysville,MI,2,1600,2020-2020,subsidiary,,,,ZF Friedrichshafen AG,,0.8,,staged,existing override,"Subsidiary of ZF Friedrichshafen AG, a privately held German company."
ymca of greater new york 24 nyc sites,The YMCA of Greater New York (24 NYC sites),NY,1,1599,2020-2020,private,,,,,,0.95,,staged,existing override,"Nonprofit organization, not publicly traded."
new century transportation,"New Century Transportation, Inc.",NJ,1,1577,2014-2014,private,,,,,,0.8,,rejected,model-rejected,Private trucking company.
jack ohio finance llc jack entertainment,"JACK Ohio Finance, LLC (JACK Entertainment)",OH,1,1561,2020-2020,subsidiary,,,,JACK Entertainment,,0.8,,staged,unverifiable parent,"JACK Ohio Finance, LLC is a financing entity of JACK Entertainment, which is a private company."
stemilt ag services,Stemilt Ag Services LLC,WA,1,1561,2025-2025,private,,,,,,0.9,,rejected,model-rejected,Stemilt Ag Services LLC is a private agricultural company.
rio properties,"Rio Properties, LLC",NV,1,1552,2023-2023,subsidiary,,,,Caesars Entertainment Inc.,1269099,0.8,,staged,unknown parent CIK,"Rio Properties, LLC is likely a subsidiary of Caesars Entertainment, which was a public company."
ata airlines,ATA Airlines Inc.,CA|IL|TX,13,1546,2004-2008,subsidiary,,,,ATA Holdings Corp.,,0.85,,staged,unknown parent CIK,"ATA Airlines Inc. was a subsidiary of ATA Holdings Corp., which was publicly traded."
mzl home care agency,"MZL Home Care Agency, LLC",NY,1,1535,2018-2018,private,,,,,,0.9,,staged,existing override,"MZL Home Care Agency, LLC is a private home care provider."
exide technoloies,Exide Technoloies,KS,2,1530,2020-2020,public,Exide Technologies,,,,,0.95,,staged,existing override,Battery manufacturer that was publicly traded.
ritz carlton naples,"The Ritz Carlton, Naples",FL,2,1530,2020-2022,franchise,,,,,,0.8,,rejected,model-rejected,"Hotel franchise, not the corporate entity."
seminole hard rock hotel casino hollywood,Seminole Hard Rock Hotel & Casino - Hollywood,FL,1,1527,2020-2020,private,,,,,,0.95,,staged,existing override,"Tribal casino and hotel, not a public company."
veolia transportation services,"VEOLIA TRANSPORTATION SERVICES, INC.",CA,7,1521,2008-2013,subsidiary,,,,Veolia Environnement,1294085,0.9,,staged,unknown parent CIK,Subsidiary of publicly traded Veolia.
agrimacs,"Agrimacs, Inc.",WA,2,1513,2025-2026,private,,,,,,0.8,,staged,existing override,"No evidence of SEC registration for Agrimacs, Inc."
pfizer pharmacia,Pfizer/Pharmacia,IL,1,1500,2003-2003,public,Pfizer Inc.|Pharmacia Corporation,78003,exact:listed,,,0.98,"registrant filed 1994-2026, covering the notices",staged,under-corroborated,Pfizer is a publicly traded company.
tetra and air sole production,TETRA AND AIR SOLE PRODUCTION,OR,1,1500,1998-1998,private,"TETRA Technologies, Inc.",844965,exact,,,0.6,"registrant filed 1996-2026, covering the notices",staged,below threshold,"TETRA may refer to a public company, but 'AIR SOLE PRODUCTION' is ambiguous."
cagle s,Cagle's,GA,4,1498,1997-2011,public,"Cagle's Inc.|Cagle's, Inc.",,,,,0.95,,staged,matcher refused,Cagle's is a publicly traded poultry company.
lm services corporation d b a hilton garden inn o fallon hilton garden inn chesterfield hilton garden inn st louis airport hilton st louis at the ballpark holiday inn forest park homewood suites by hilton maryland heights embassy suites by hilton st louis airport doubletree by hilton sheraton westport union station hotel the cheshire boundary basso doubletree hotel conference center hilton st louis airport hospitality audio visual crowne plaza st louis airport marriott st louis airport,"LM Services Corporation d/b/a: Hilton Garden Inn-O'Fallon, Hilton Garden Inn-Chesterfield, Hilton Garden Inn-St. Louis Airport, Hilton St. Louis at the Ballpark, Holiday Inn Forest Park, Homewood Suites by Hilton-Maryland Heights, Embassy Suites by Hilton St. Louis Airport, Doubletree by Hilton, Sheraton Westport, Union Station Hotel, The Cheshire, Boundary/Basso, Doubletree Hotel & Conference Center, Hilton St. Louis Airport, Hospitality Audio Visual, Crowne Plaza St. Louis Airport, Marriott St. Louis Airport",MO,1,1488,2020-2020,private,,,,,,0.8,,staged,existing override,LM Services Corporation is a hotel management company; no SEC registration found.
swissport,"Swissport SA, LLC",CA|CO|IL,6,1486,2016-2020,private,,,,,,0.8,,rejected,model-rejected,"Swissport SA, LLC is a ground handling company; private or subsidiary of private parent."
jbs souderton,JBS Souderton,PA,1,1485,2026-2026,subsidiary,,,,JBS SA,1539126,0.9,,staged,unknown parent CIK,"JBS Souderton is a facility of JBS USA, a subsidiary of JBS SA which files with SEC."
dayton tire bridgestone firestone,Dayton Tire/Bridgestone Firestone,OK,1,1475,2006-2006,subsidiary,,,,Bridgestone Corporation,,0.85,,staged,unverifiable parent,"Dayton Tire/Bridgestone Firestone is a facility of Bridgestone, but CIK not available."
kohls food stores,Kohls Food Stores,WI,1,1473,2003-2003,private,,,,,,0.75,,staged,existing override,"Kohls Food Stores appears to be a local grocery chain, not related to department store."
lucky chances casino,Lucky Chances Casino,CA,3,1467,2020-2020,private,,,,,,0.7,,staged,existing override,Lucky Chances Casino is likely a privately owned casino.
forever 21 logistics,"Forever 21 Logistics, LLC",CA,3,1462,2012-2019,private,,,,,,0.9,,staged,existing override,"Forever 21 logistics entity, private company."
alan ritchey,Alan Ritchey,CO|IN|NJ|NY|TX,5,1459,2009-2026,private,,,,,,0.9,,staged,existing override,Likely a private staffing or logistics company.
gareda nursing services,"Gareda Nursing Services, Inc.",IL,1,1458,2008-2008,private,,,,,,0.9,,staged,existing override,"Local nursing services provider, not public."
aurora bank fsb aurora loan services,"Aurora Bank FSB, Aurora Loan Services",IN|NE,3,1454,2012-2012,private,,,,,,0.8,,rejected,model-rejected,Aurora Bank FSB was a privately held savings bank.
encore receivable management,"Encore Receivable Management, Inc.",KS,2,1454,2010-2010,private,,,,,,0.9,,rejected,model-rejected,"Debt collection agency, not publicly traded."
nortel networks,Nortel Networks Inc.,CA|GA|TX,8,1451,2001-2009,subsidiary,,,,Nortel Networks Corporation,,0.95,,staged,existing override,Nortel Networks Inc. was a US subsidiary of the public company Nortel Networks Corporation.
san diego sportservice,"San Diego Sportservice, Inc",CA,2,1446,2017-2020,subsidiary,,,,Delaware North Companies,,0.7,,staged,unverifiable parent,"San Diego Sportservice, Inc. is a subsidiary of Delaware North."
tfe logistics group,TFE Logistics Group,KY|TX,5,1446,2008-2010,private,,,,,,0.8,,rejected,model-rejected,"Private logistics company, no SEC registration found."
suny downstate medical center at lich staffco,SUNY Downstate Medical Center at LICH - StaffCo.,NY,1,1442,2013-2013,government,,,,,,0.95,,staged,existing override,"Part of State University of New York (SUNY) system, a public institution."
great wolf lodge,Great Wolf Lodge,AZ|CO|IL|MI,5,1441,2020-2020,private,"Great Wolf Resorts, Inc.",,,,,0.75,,staged,existing override,"Great Wolf Lodge is operated by Great Wolf Resorts, Inc., formerly a public company until 2012."
o hare iap airforce reserve station,O'HARE IAP AIRFORCE RESERVE STATION,IL,1,1436,1995-1995,government,,,,,,0.99,,staged,existing override,"United States Air Force Reserve station, government entity."
equinox holdings inc 2 corporate sites and 16 fitness clubs nyc,Equinox Holdings Inc. (2 Corporate sites and 16 fitness clubs - NYC),NY,1,1433,2020-2020,private,,,,,,0.9,,staged,existing override,Equinox Holdings Inc. is a privately held fitness company.
fedders appliances,FEDDERS APPLIANCES,IL,5,1427,1990-2005,public,Fedders Corporation,744106,exact,,,0.7,,staged,below threshold,Fedders was a publicly traded appliance manufacturer.
capital district ymca,Capital District YMCA,NY,1,1426,2020-2020,private,,,,,,0.95,,staged,existing override,Capital District YMCA is a non-profit organization.
nassau event operations asm global at nycb live aeg management nassau,"Nassau Event Operations (ASM Global) at NYCB Live (AEG Management Nassau, LLC)",NY,1,1419,2020-2020,private,,,,,,0.8,,staged,existing override,Nassau Event Operations is likely a private venue management company.
adventist health feather river,Adventist Health Feather River,CA,3,1414,2018-2019,private,,,,,,0.9,,staged,existing override,Adventist Health Feather River is a non-profit healthcare provider.
crossmark home improvement services,Crossmark Home Improvement Services,CA|LA,36,1414,2009-2009,private,,,,,,0.95,,staged,existing override,"Private company, not an SEC registrant"
broadmoor,The Broadmoor,CO,1,1411,2020-2020,private,,,,,,0.95,,staged,existing override,Private luxury hotel
gargiulo,"Gargiulo, Inc.",CA,4,1407,2002-2013,private,,,,,,0.9,,staged,existing override,Private agricultural company
medical facility associates,Medical Facility Associates,DC,2,1406,2020-2026,private,,,,,,0.8,,staged,existing override,Private healthcare facility management company
faculty student association of state university of new york at buffalo inc dba campus dining and shops and ubfsa services llc dba three pillars catering,"Faculty Student Association of State University of New York at Buffalo, Inc., dba Campus Dining and Shops, and UBFSA Services LLC dba Three Pillars Catering",NY,1,1401,2020-2020,private,,,,,,0.95,,staged,existing override,Non-profit organization affiliated with SUNY Buffalo
99 cents only,99 Cents Only,AZ,1,1400,2024-2024,public,99 Cents Only Stores,,,,,0.9,,staged,existing override,"Formerly public company (99 Cents Only Stores), delisted after going private"
menninger clinic,The Menninger Clinic,KS,3,1400,2000-2003,private,,,,,,0.95,,staged,existing override,Private psychiatric hospital and clinic
new jersey sports exposition authority izod center,New Jersey Sports & Exposition Authority - IZOD CENTER,NJ,1,1400,2015-2015,government,,,,,,0.95,,staged,existing override,New Jersey Sports & Exposition Authority is a state authority.
usa healthcare,"USA HEALTHCARE, LLC",AL,2,1400,2004-2004,private,,,,,,0.9,,staged,existing override,"USA Healthcare, LLC appears to be a private healthcare provider."
st barnabas health,ST. BARNABAS HEALTH,NJ,3,1395,2005-2007,private,,,,,,0.85,,staged,existing override,"St. Barnabas Health is a non-profit hospital system, not SEC-registered."
cameron mitchell,Cameron Mitchell,OH,1,1390,2020-2020,private,,,,,,0.8,,staged,existing override,Cameron Mitchell likely refers to a private restaurant group.
crucible materials,Crucible Materials Corporation,NY,2,1386,2009-2009,private,,,,,,0.9,,rejected,model-rejected,Crucible Materials Corporation was a private company.
globe aviation services,Globe Aviation Services Corporation,CA|KS|OH|TX|WI,10,1372,2002-2002,private,,,,,,0.85,,rejected,model-rejected,Globe Aviation Services Corporation appears to be a private aviation services firm.
hmshost o hare,HMSHost O'Hare,IL,1,1371,2020-2020,subsidiary,,,,Autogrill Group,,0.8,,staged,existing override,HMSHost is a subsidiary of Autogrill.
copeland sports,Copeland Sports,CA|OR,13,1358,2006-2006,private,,,,,,0.9,,staged,existing override,Copeland Sports was a private sporting goods retailer.
mirro,Mirro,WI,5,1358,2001-2003,subsidiary,,,,Newell Brands Inc.,814453,0.9,,accepted,already decided,Mirro was owned by Newell Brands.
princess cruise lines,Princess Cruise lines Ltd,CA|FL|WA,8,1352,2016-2021,subsidiary,,,,Carnival Corporation,815070,0.95,,staged,unknown parent CIK,Princess Cruises is owned by Carnival Corporation.
bf goodrich tire mfg opelika,"BF GOODRICH TIRE MFG., OPELIKA",AL,1,1350,2006-2006,subsidiary,,,,Michelin Group,,0.85,,staged,unverifiable parent,BF Goodrich tire manufacturing is a subsidiary of Michelin.
helping care inc home services for seniors,"HELPING CARE, INC/HOME SERVICES FOR SENIORS, INC.",IL,2,1346,1994-1994,private,,,,,,0.6,,staged,existing override,Home care service company in Illinois; no SEC registration found.
national beef california,"NATIONAL BEEF CALIFORNIA, LP",CA,1,1342,2014-2014,private,,,,,,0.8,,rejected,model-rejected,National Beef is a large beef processor; privately held.
morgan olson,"Morgan Olson, LLC",MI|TN|VA,5,1341,2023-2024,subsidiary,,,,Shyft Group,1509275,0.9,,staged,unknown parent CIK,"Morgan Olson is a brand of The Shyft Group, a public company."
dhl,DHL,GA|KS|OR|SC|TX,6,1339,2008-2024,subsidiary,,,,Deutsche Post AG,,0.7,,staged,unknown parent CIK,"DHL is a division of Deutsche Post DHL Group, a foreign public company."
volume services inc dba centerplate,"Volume Services, Inc. dba Centerplate",CA,1,1330,2017-2017,private,,,,,,0.8,,staged,existing override,Volume Services dba Centerplate was historically public but taken private by Oaktree Capital; no current SEC registration.
qualex,"QUALEX, INC.",CA|GA|IL|NJ|OH|TX|WA|WI,12,1329,1991-2004,subsidiary,,,,Eastman Kodak Company,31235,0.95,,staged,existing override,Qualex was a wholly-owned subsidiary of Eastman Kodak in the photofinishing business.
dream center education holdings,"Dream Center Education Holdings, LLC",AZ|CA|MI|NC|VA,11,1323,2018-2018,private,,,,,,0.9,,staged,existing override,"Dream Center Education Holdings is a private for-profit education company, not SEC-registered."
american sales management organization llc dba eulen america,American Sales Management Organization LLC dba Eulen America,NY,1,1321,2020-2020,subsidiary,,,,Eulen,,0.7,,staged,unverifiable parent,"American Sales Management dba Eulen America is likely a US subsidiary of Spanish company Eulen, no CIK known."
