state,location,notices,workers,reason,kind,census_name,resolved_to,confidence,elsewhere,outcome,gate,note
ID,Boise Eagle Boise Nampa Caldwell Meridian,1,328,no matching place,multiple,"Boise, Eagle, Nampa, Caldwell, Meridian",,0.99,,staged,multiple,multiple cities
NJ,"Company Location: Orlando, FL Affected Employees: Woodbridge, Toms River, Wayne, Paramus",1,327,2 distinct places named,multiple,"Woodbridge, Toms River, Wayne, Paramus",,0.99,,staged,multiple,affected employees in NJ
VA,"Richmond, Mechanicsville & Midlothian VA",1,326,3 distinct places named,multiple,"Richmond, Mechanicsville, Midlothian",,0.99,,staged,multiple,3 distinct places
CA,CARMEL,2,321,no matching place,place,Carmel,,0.95,,staged,did not resolve,city in California
MO,Cassville & Carthage,1,321,2 distinct places named,multiple,,,0.99,,staged,multiple,two distinct places: Cassville and Carthage
VA,"Fredericksburg, Chesapeake, Newport News, Virginia Beach & Williamsburg VA",1,319,5 distinct places named,multiple,,,0.99,,staged,multiple,"five distinct places: Fredericksburg, Chesapeake, Newport News, Virginia Beach, Williamsburg"
KY,Perry/Leslie,2,318,no matching place,multiple,,,0.9,,staged,multiple,likely two counties: Perry County and Leslie County
OH,Moraine ODJFS Bureau of WIA-Rapid,1,314,no matching place,place,Moraine,,0.7,,staged,below threshold 0.8,administrative text appended to place name
WI,"Fitchburg, Kenosha, Madison, Middleton, Waukesha",1,313,5 distinct places named,multiple,,,0.99,,staged,multiple,"five distinct places: Fitchburg, Kenosha, Madison, Middleton, Waukesha"
WI,Brown Deer and Glendale,3,311,2 distinct places named,multiple,,,0.99,,staged,multiple,two distinct places: Brown Deer and Glendale
KY,Lewis/Boone,1,309,no matching place,multiple,,,0.99,,staged,multiple,Two counties: Lewis and Boone
OH,"Columbus, Worthington",1,309,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Columbus and Worthington
IN,"Anderson, Columbus, Elkhart, Indianapolis and Marion",1,306,5 distinct places named,multiple,,,0.99,,staged,multiple,"Five distinct places: Anderson, Columbus, Elkhart, Indianapolis, Marion"
VA,"McLean, Woodbridge, Arlington, Fairfax VA",1,306,3 distinct places named,multiple,,,0.99,,staged,multiple,"Four distinct places: McLean, Woodbridge, Arlington, Fairfax"
UT,Provo and Springville,1,303,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Provo and Springville
WA,"Federal Way, Olympia, Tacoma, Walla Walla, and Bellevue",1,303,4 distinct places named,multiple,,,0.99,,staged,multiple,"Five distinct places: Federal Way, Olympia, Tacoma, Walla Walla, Bellevue"
CA,TRAVIS AFB,3,302,no matching place,county,Solano County,Solano County,0.99,,staged,county-level,Travis AFB is in unincorporated Solano County
LA,"41237 Hwy 22 Burnside, LA",1,302,no matching place,county,Ascension Parish,Ascension Parish,0.98,,staged,county-level,Burnside is an unincorporated community in Ascension Parish
KY,"Letcher , Pike",4,300,no matching place,multiple,,,0.99,,staged,multiple,Names two counties: Letcher County and Pike County
MI,"Shelby Township, Michigan; Sterling Heights, Michigan, Washington Township, Michigan",1,300,2 distinct places named,multiple,,,0.99,,staged,multiple,"Three places: Shelby Township, Sterling Heights, Washington Township"
GA,Pine Mountain Vally,1,298,no matching place,county,Harris County,Harris County,0.85,,staged,county-level,"Probable misspelling of Pine Mountain Valley, an unincorporated CDP in Harris County"
MD,"7458 New Ridge Road Hanover, MD 21076",2,297,no matching place,county,Anne Arundel County,Anne Arundel County,0.98,"AL,IL,IN,KS,MA,ME,MI,MN,NE,NH,NJ,NM,NY,OH,PA,VA,WI",staged,county-level,Hanover is a CDP in Anne Arundel County
CT,"Manchester, Enfield, Milford, North Haven",1,295,3 distinct places named,multiple,,,0.99,,staged,multiple,"Four towns: Manchester, Enfield, Milford, North Haven"
PA,"Lehigh, Northampton, Cumberland, York and Luzerne",1,294,3 distinct places named,multiple,,,0.99,,staged,multiple,"List of counties: Lehigh, Northampton, Cumberland, York, Luzerne"
CA,MOFFETT FIELD,4,293,no matching place,county,Santa Clara County,Santa Clara County,0.9,,staged,county-level,Moffett Field is a CDP in Santa Clara County
IN,GoshenElkhart,1,293,no matching place,multiple,,,0.95,,staged,multiple,Two cities: Goshen and Elkhart
VA,Hurley VA,7,293,no matching place,county,Buchanan County,Buchanan County,0.95,"MO,MS,ND,NM,NY,SD,WI",staged,county-level,Hurley is a CDP in Buchanan County
VA,Wallops Island VA,2,292,no matching place,county,Accomack County,Accomack County,0.95,,staged,county-level,Wallops Island is an unincorporated area in Accomack County
VA,"Alexandria, Arlington, Ashburn, Centreville, Fairfax & Gainesville VA",1,291,6 distinct places named,multiple,,,0.99,,staged,multiple,"Six cities/towns: Alexandria, Arlington, Ashburn, Centreville, Fairfax, Gainesville"
NY,Woodside,6,287,no matching place,county,Queens County,,0.7,,staged,below threshold 0.8,"Woodside is a neighborhood in Queens County, NY"
TN,"Blount, Knox, Monroe, and Sevier County",1,286,no matching place,multiple,,,0.99,,staged,multiple,"Lists multiple counties: Blount, Knox, Monroe, Sevier"
NY,"Bronx, Brooklyn,NYC",1,285,no matching place,multiple,,,0.99,,staged,multiple,"Names Bronx, Brooklyn, and NYC"
VA,"Henrico, Glen Allen, Chester & Chesapeake VA",1,282,3 distinct places named,multiple,,,0.99,,staged,multiple,"Lists Henrico, Glen Allen, Chester, Chesapeake"
WA,"Seattle, Des Moines",1,282,2 distinct places named,multiple,,,0.99,,staged,multiple,Names Seattle and Des Moines
VA,"Alexandria, Sterling, Warrenton & Winchester VA",1,281,4 distinct places named,multiple,,,0.99,,staged,multiple,"Lists Alexandria, Sterling, Warrenton, Winchester"
WI,"Marshfield, Stevens Point, Neillsville",1,279,3 distinct places named,multiple,,,0.99,,staged,multiple,Three distinct places
WI,"New Berlin, Muskego, Brookfield",1,279,3 distinct places named,multiple,,,0.99,,staged,multiple,Three distinct places
IN,"Indianapolis, Anderson, Logansport, Martinsville, and Richmond",1,277,5 distinct places named,multiple,,,0.99,,staged,multiple,Five distinct places
AL,Vienna,1,276,no matching place,place,Vienna,,0.99,,staged,did not resolve,Town in Alabama
WI,"Baraboo, Black River Falls, Wittenberg",1,274,3 distinct places named,multiple,,,0.99,,staged,multiple,Three distinct places
GA,Eastanollee,2,273,no matching place,place,Eastanollee,,0.99,,staged,did not resolve,Town in Georgia
NJ,MONROE,3,270,no matching place,place,Monroe,,0.7,,staged,did not resolve,Ambiguous; likely refers to Monroe Township
MA,"Lowell, Peabody, Tyngsboro & Methuen",1,266,3 distinct places named,multiple,"Lowell, Peabody, Tyngsboro, Methuen",,0.99,,staged,multiple,Multiple distinct places listed
IN,Goshen Howe,1,265,no matching place,multiple,"Goshen, Howe",,0.7,,staged,multiple,"Likely two distinct places: Goshen and Howe, IN"
IN,"Carmel, Clarksville and Indianapolis",1,263,3 distinct places named,multiple,"Carmel, Clarksville, Indianapolis",,0.99,,staged,multiple,Multiple distinct places listed
NJ,"Company Location: Hudson, OH Affected Employees: Atlantic, Bergen, Burlington, Camden, Gloucester, Mercer, Middlesex, Monmouth, Morris, and Ocean Counties",1,262,4 distinct places named,multiple,,,0.99,,staged,multiple,"Multiple sites: company location in Hudson, OH and affected counties in NJ"
WI,"Appleton, Brookfield, Glendale, Green Bay, Greendale, La Crosse, Madison, Milwaukee, Racine, Wauwatosa",1,261,10 distinct places named,multiple,,,0.99,,staged,multiple,10 Wisconsin cities
MI,"Bingham Farms, Michigan; Bloomfield Hills, Michigan; and Northville, Michigan",1,260,3 distinct places named,multiple,,,0.99,,staged,multiple,3 Michigan cities
TN,"Blount, Davidson, and Shelby County",1,260,no matching place,multiple,,,0.99,,staged,multiple,3 Tennessee counties
VA,Norfolk & Portsmouth VA,1,260,2 distinct places named,multiple,,,0.99,,staged,multiple,"Norfolk and Portsmouth, VA"
WI,"Waukesha, Oak Creek, Milwaukee",1,260,3 distinct places named,multiple,,,0.99,,staged,multiple,3 Wisconsin cities
CA,San Ysidro,2,258,no matching place,county,San Diego County,San Diego County,0.9,NM,staged,county-level,San Ysidro is a neighborhood in San Diego County
VA,Appalachia & St. Charles VA,1,258,2 distinct places named,multiple,,,0.99,,staged,multiple,"Appalachia and St. Charles, VA"
WA,"Everett, Puyallup",1,258,2 distinct places named,multiple,"Everett, Puyallup",,1.0,,staged,multiple,
GA,Ft. Benning,2,256,no matching place,county,Chattahoochee County,Chattahoochee County,0.8,,staged,county-level,"Military base, not incorporated"
NV,"Las Vegas/Sparks/Elko, Clark/Washoe/Elko",1,255,3 distinct places named,multiple,"Las Vegas, Sparks, Elko",,1.0,,staged,multiple,
IN,"Avon, Brownsburg, Indianapolis, Lebanon and Noblesville",1,254,5 distinct places named,multiple,"Avon, Brownsburg, Indianapolis, Lebanon, Noblesville",,1.0,,staged,multiple,
NJ,LAWRENCE TWP.,1,254,no matching place,place,Lawrence Township,,0.95,,staged,did not resolve,NJ township
PA,Lehigh and Westmoreland,1,253,no matching place,multiple,"Lehigh County, Westmoreland County",,1.0,,staged,multiple,
WI,Franksville,2,252,no matching place,county,Racine County,Racine County,0.8,,staged,county-level,Unincorporated community Franksville in Racine County
OH,Fayette/Fulton,1,251,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Fayette and Fulton
ID,Nampa Boise,1,250,no matching place,multiple,,,0.99,,staged,multiple,Two distinct places: Nampa and Boise
NY,Brooklyn/NY/Jamaica,1,247,no matching place,multiple,,,0.99,,staged,multiple,"Distinct sites: Brooklyn, NY; Jamaica, NY"
CA,Edwards,3,245,no matching place,county,Kern County,Kern County,0.95,"CO,MI,MN,MS,NY",staged,county-level,Edwards likely refers to Edwards AFB in Kern County
NJ,FORT MONMOUTH,1,245,no matching place,county,Monmouth County,Monmouth County,0.95,,staged,county-level,Fort Monmouth is a military base in Monmouth County
MA,"Boston, Burlington",1,242,2 distinct places named,multiple,,,0.99,,staged,multiple,Boston and Burlington are two distinct places
WA,"Moses Lake, Renton",1,240,2 distinct places named,multiple,,,0.99,,staged,multiple,Moses Lake and Renton are two distinct places
GA,Glynco,3,239,no matching place,county,Glynn County,Glynn County,0.9,,staged,county-level,Glynco is an unincorporated community in Glynn County
NY,Irving,2,239,no matching place,place,Irving,,0.95,,staged,did not resolve,Irving is a village in New York
WI,"Appleton, Greenfield, Kenosha, Madison, Milwaukee, Mount Pleasant, Prairie du Sac, Sheboygan, West Bend",1,238,9 distinct places named,multiple,,,0.99,,staged,multiple,Nine distinct places listed
GA,Mcrae,4,237,no matching place,place,McRae,,0.95,,staged,did not resolve,McRae is a city in Georgia
NY,"Buffalo, Depew, Orchard Park",1,237,3 distinct places named,multiple,,,0.99,,staged,multiple,"three distinct places: Buffalo, Depew, Orchard Park"
OH,Columbus (Franklin) and Akron (Summit),1,237,3 distinct places named,multiple,,,0.99,,staged,multiple,two distinct places: Columbus and Akron
MI,"Cheboygan, Gaylord, Petoskey, Rogers City",1,236,3 distinct places named,multiple,,,0.99,,staged,multiple,"four distinct places: Cheboygan, Gaylord, Petoskey, Rogers City"
MI,"Flint, Michigan and Burton, Michigan",1,235,2 distinct places named,multiple,,,0.99,,staged,multiple,two distinct places: Flint and Burton
MO,House Springs,2,234,no matching place,county,Jefferson County,Jefferson County,0.95,,staged,county-level,"House Springs is an unincorporated community in Jefferson County, MO"
OH,Monroe/Butler,1,233,2 distinct places named,multiple,,,0.99,,staged,multiple,two distinct places: Monroe and Butler
OH,Brooklyn and Cleveland,1,230,2 distinct places named,multiple,,,0.99,,staged,multiple,two distinct places: Brooklyn and Cleveland
OH,Richfield and Independence,1,230,2 distinct places named,multiple,,,0.99,,staged,multiple,two places named
WA,"King, Pierce, and Snohomish Counties",1,230,no matching place,multiple,,,0.99,,staged,multiple,three counties named
FL,PATRICK SFB,1,228,no matching place,county,Brevard County,Brevard County,0.95,,staged,county-level,Patrick Space Force Base in Brevard County
MD,"21 Governors Court Suite 250 Windsor Mill, MD 21244",2,228,no matching place,county,Baltimore County,,0.95,,staged,did not resolve,Windsor Mill is unincorporated in Baltimore County
KY,Jefferson/Boone,1,227,no matching place,multiple,,,0.99,,staged,multiple,two counties: Jefferson and Boone
IN,Indianapolis & Fort Wayne,1,225,2 distinct places named,multiple,,,0.99,,staged,multiple,Indianapolis and Fort Wayne are two distinct cities in Indiana
MD,"1201 Winterson Road 4th Floor Linthicum Heights, MD 21090",1,224,no matching place,county,Anne Arundel County,Anne Arundel County,0.9,,staged,county-level,Linthicum Heights is an unincorporated community within Anne Arundel County
VA,"Centreville, Reston, Winchester & Woodbridge VA",1,224,3 distinct places named,multiple,,,0.99,,staged,multiple,Four distinct places named in Virginia
OH,Middleburg Heights/Berea/Cuyahoga,1,223,2 distinct places named,multiple,,,0.99,,staged,multiple,Middleburg Heights and Berea are cities; Cuyahoga likely refers to county
SC,CatawbaLancasterJonesville,1,222,no matching place,multiple,,,0.99,,staged,multiple,"Three distinct places in South Carolina: Catawba, Lancaster, Jonesville"
MD,"701 Wedeman Avenue Linthicum Heights, MD 21090",1,220,no matching place,county,Anne Arundel County,Anne Arundel County,0.9,,staged,county-level,"Address in Linthicum Heights, an unincorporated community in Anne Arundel County"
IN,Indianapolis and Fishers,1,219,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct cities named.
CA,TERMINAL ISLAND,2,218,no matching place,county,Los Angeles County,Los Angeles County,0.95,,staged,county-level,Terminal Island is an unincorporated area within Los Angeles County.
WI,"Madison, Wauwatosa",1,218,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct cities named.
ID,Tamarack,1,217,no matching place,place,Tamarack,,0.8,,staged,did not resolve,"Recognized CDP in Adams County, Idaho."
OH,Willoughby (Lake) and Lorain (Lorain),1,217,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct cities with county identifiers.
NY,Derby,1,216,no matching place,county,Erie County,Erie County,0.85,"CO,CT,IA,KS,OH,VT",staged,county-level,"Derby is an unincorporated hamlet in Erie County, New York."
WA,"Seattle, Mountlake Terrace",1,216,2 distinct places named,multiple,,,1.0,,staged,multiple,Two distinct places: Seattle and Mountlake Terrace.
IN,Kentland & North Vernon,1,214,2 distinct places named,multiple,,,1.0,,staged,multiple,Two places: Kentland and North Vernon.
VA,"Vansant, Jewell Ridge & Honaker VA",1,214,3 distinct places named,multiple,,,1.0,,staged,multiple,"Three places: Vansant, Jewell Ridge, Honaker."
MI,"Ann Arbor, Michigan; Auburn Hills, Michigan; Grandville, Michigan; Grand Rapids, Michigan; Holland, Michigan; Muskegon, Michigan; and Stevensville, Michigan",1,213,6 distinct places named,multiple,,,1.0,,staged,multiple,Seven distinct places.
NY,West Nyack/ Pelham Manor,1,211,2 distinct places named,multiple,,,1.0,,staged,multiple,Two places: West Nyack and Pelham Manor.
WA,"Lynwood, Mukilteo, Lakewood",1,210,2 distinct places named,multiple,,,0.99,,staged,multiple,Three distinct cities
MD,"7000 Arundel Mills Circle Hanover, MD 21076",3,209,no matching place,county,Anne Arundel County,Anne Arundel County,0.8,"AL,IL,IN,KS,MA,ME,MI,MN,NE,NH,NJ,NM,NY,OH,PA,VA,WI",staged,county-level,Address with unincorporated community Hanover
NY,Central Valley,6,209,no matching place,county,Orange County,Orange County,0.9,UT,staged,county-level,Central Valley is an unincorporated hamlet
NJ,HAMILTON,3,207,no matching place,place,Hamilton,,0.95,,staged,did not resolve,Hamilton is a township in NJ
NC,New Hill,1,206,no matching place,county,Wake County,Wake County,0.9,,staged,county-level,New Hill is unincorporated
MO,"Kinloch, Vinita Park, Hazelwood",1,204,3 distinct places named,multiple,,,0.95,,staged,multiple,3 distinct places named
MA,"Chelsea, Dedham (Amazon Fulfillment Station)",1,201,2 distinct places named,multiple,,,0.95,,staged,multiple,2 distinct places named
MA,North Billerica,1,201,no matching place,county,Middlesex County,Middlesex County,0.85,,staged,county-level,unincorporated community in Middlesex County
VA,"Federicksburg, Newport News, Virginia Beach & Williamsburg VA",1,201,3 distinct places named,multiple,,,0.99,,staged,multiple,"lists multiple cities: Fredericksburg, Newport News, Virginia Beach, Williamsburg"
IN,"Bloomington, Mishawaka, South Bend",1,200,3 distinct places named,multiple,,,0.99,,staged,multiple,"three distinct Indiana cities: Bloomington, Mishawaka, South Bend"
KY,Perry & Leslie,1,200,no matching place,multiple,,,0.9,,staged,multiple,"likely Perry and Leslie counties, KY"
KY,Pilaski,1,200,no matching place,county,Pulaski County,Pulaski County,0.8,,staged,county-level,"typo for Pulaski County, KY"
MD,"55 Schilling Road Hunt Valley, MD 21031",1,200,no matching place,county,Baltimore County,,0.9,,staged,did not resolve,Hunt Valley is an unincorporated community in Baltimore County
VA,Springfield & Newington VA,2,200,2 distinct places named,multiple,,,0.99,,staged,multiple,two unincorporated communities in Virginia: Springfield and Newington
MO,"High Ridge, Eureka, Grover",2,199,2 distinct places named,multiple,,,0.99,,staged,multiple,"Three distinct places: High Ridge, Eureka, Grover"
CT,Uncasville,3,197,no matching place,place,Uncasville,,0.95,,staged,did not resolve,"CDP in Montville, Connecticut"
NJ,Gladstone,1,195,no matching place,place,Gladstone,,0.95,,staged,did not resolve,Borough in Somerset County
WA,Eastsound (Orcas Island),1,195,no matching place,place,Eastsound,,0.95,,staged,did not resolve,"CDP on Orcas Island, San Juan County"
WA,Joint Base Lewis McChord,3,195,no matching place,county,Pierce County,Pierce County,0.8,,staged,county-level,"Joint Base Lewis-McChord is a military base in Pierce County, not in an incorporated city"
MD,"8261 Central Avenue Capital Heights, MD 20743",1,194,no matching place,place,Capital Heights,,0.95,,staged,did not resolve,Address includes city Capital Heights
IN,"Indianapolis, Franklin, Greencastle, Brazil, Batesville, Elkhart, Gary, Valparaiso, Hobart, Michigan City, Mooresville, Brazil",1,193,11 distinct places named,multiple,,,0.99,,staged,multiple,Lists 12 distinct Indiana cities
IN,Greenfield & Goshen,1,192,2 distinct places named,multiple,,,0.99,,staged,multiple,Two Indiana towns: Greenfield and Goshen
IN,Nappanee and Peru,1,192,2 distinct places named,multiple,,,0.99,,staged,multiple,Two Indiana towns: Nappanee and Peru
SC,Moore,2,192,no matching place,place,Moore,,0.85,,staged,did not resolve,"Town in Spartanburg County, SC"
MD,"16020 Leeland Rd, Upper Marlboro, MD 20774; 6300 Columbia Park Rd, Landover, MD 20785",1,191,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct Maryland towns: Upper Marlboro and Landover
MI,"Waterford, Michigan",1,191,no matching place,place,Waterford,,0.95,,staged,did not resolve,"Township in Oakland County, MI"
CT,"Westport, West Harford, Stamford",1,190,2 distinct places named,multiple,,,0.95,,staged,multiple,"Three distinct places named: Westport, West Hartford, Stamford"
CT,"westport, West Hartford, Stamford",1,190,3 distinct places named,multiple,,,0.99,,staged,multiple,"Three distinct places named: Westport, West Hartford, Stamford"
MD,"7515 & 7535 Mission Dr, Lanhan-Seabrook and 8800 Greenbelt Road, Geenbelt, MD",1,190,no matching place,multiple,,,0.9,,staged,multiple,Two distinct locations: Lanham-Seabrook and Greenbelt
MD,"7426 New Ridge Road Hanover, MD 21076",1,189,no matching place,county,Anne Arundel County,Anne Arundel County,0.95,"AL,IL,IN,KS,MA,ME,MI,MN,NE,NH,NJ,NM,NY,OH,PA,VA,WI",staged,county-level,Unincorporated community Hanover in Anne Arundel County
MI,Redford,1,188,no matching place,place,Redford,,0.95,,staged,did not resolve,Redford is a charter township in Michigan
NJ,"Jersey City, Rutherford, Short Hills, Paramus,Hoboken, Fort Lee",1,187,6 distinct places named,multiple,,,0.99,,staged,multiple,6 distinct places named
WA,"Kent, Bothell, Bellevue, Fife",1,187,4 distinct places named,multiple,,,0.99,,staged,multiple,4 distinct places named
WA,"Lynnwood, Seattle",1,187,2 distinct places named,multiple,,,0.99,,staged,multiple,2 distinct places named
IN,Indianapolis & Yorktown,2,186,2 distinct places named,multiple,,,0.99,,staged,multiple,2 distinct places named
AK,"Fairbanks, North Pole",1,185,2 distinct places named,multiple,,,0.99,,staged,multiple,2 distinct places named
LA,"2002 Crow Lane Pelican, LA 71063",2,185,no matching place,place,Pelican,,0.85,,staged,did not resolve,Includes street address; city is Pelican
MI,Canton,4,183,no matching place,place,Canton,,0.95,,staged,did not resolve,Charter township in Michigan
OH,"Columbus (Franklin), Johnstown (Licking)",1,183,3 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places
WA,Bothell/Redmond/Bellevue,3,183,3 distinct places named,multiple,,,0.99,,staged,multiple,Three distinct places
MD,"101 Schilling Road Suite 40 Hunt Valley, MD 21031",1,180,no matching place,county,Baltimore County,,0.95,,staged,did not resolve,Hunt Valley is an unincorporated community in Baltimore County
NJ,DEEPWATER,3,180,no matching place,county,Salem County,Salem County,0.95,"MO,ND,WV",staged,county-level,Deepwater is an unincorporated community in Salem County
WI,"Manitowoc, Sheboygan, West Bend",1,178,3 distinct places named,multiple,,,0.99,,staged,multiple,"Lists three distinct places: Manitowoc, Sheboygan, West Bend"
NY,Edgewood,2,177,no matching place,county,Suffolk County,Suffolk County,0.95,"CA,FL,IA,IL,IN,KY,MD,NM,OH,PA,TX,WA",staged,county-level,Edgewood is an unincorporated community in Suffolk County
MD,"47765 Ranch Road HGR 101 Patuxent River, MD 20670",1,176,no matching place,county,St. Mary's County,St. Mary's County,0.95,,staged,county-level,Patuxent River is an unincorporated community in St. Mary's County
AK,"Clear, AK",2,175,no matching place,county,Denali Borough,Denali Borough,0.9,,staged,county-level,Clear is an unincorporated community in Denali Borough
CA,BRODERICK,1,175,no matching place,county,Yolo County,Yolo County,0.95,,staged,county-level,Broderick is a CDP in Yolo County
KY,"Muhlenberg, Hopkins",1,175,no matching place,multiple,"Muhlenberg County, Hopkins County",,0.95,,staged,multiple,Two distinct counties named
NJ,Boston,1,175,no matching place,county,Ocean County,Ocean County,0.9,"GA,IN,KY,MA,MI,NY,OH,PA,VA",staged,county-level,Boston is an unincorporated community in Ocean County
VA,Fairfax & Reston VA,1,175,2 distinct places named,multiple,"Fairfax, Reston",,0.98,,staged,multiple,Two distinct places named
WI,Madison/Fitchburg,1,175,2 distinct places named,multiple,"Madison, Fitchburg",,0.98,,staged,multiple,Two distinct cities named
IN,"Gary, Merrillville",1,174,2 distinct places named,multiple,"Gary, Merrillville",,0.98,,staged,multiple,Two distinct cities named
MD,"10900 Old Court Road Woodstock, MD 21163",1,174,no matching place,county,Howard County,Howard County,0.95,,staged,county-level,Woodstock is a CDP in Howard County
WA,"Keyport, Silverdale",2,174,2 distinct places named,multiple,,,1.0,,staged,multiple,Two distinct places named: Keyport and Silverdale.
OH,Monroe (Butler),1,173,2 distinct places named,multiple,,,1.0,,staged,multiple,"String interpreted as Monroe and Butler, two distinct places."
WA,"Seattle, Tukwila",1,173,2 distinct places named,multiple,,,1.0,,staged,multiple,Two distinct places: Seattle and Tukwila.
CA,NIPTON,1,172,no matching place,place,Nipton,,0.9,,staged,did not resolve,Nipton is a CDP in California.
SC,Slater,2,172,no matching place,place,Slater,,0.9,,staged,did not resolve,Slater is a CDP in South Carolina.
AK,Clear,1,171,no matching place,place,Clear,,0.9,,staged,did not resolve,Clear is a CDP in Alaska.
FL,VENUS,1,170,no matching place,place,Venus,,0.9,,staged,did not resolve,Venus is a CDP in Florida.
OR,GILCRIST,1,170,no matching place,county,Klamath County,Klamath County,0.95,,staged,county-level,"Gilchrist is an unincorporated community in Klamath County, OR"
WA,"Everett, Kirkland, and Monroe",1,169,3 distinct places named,multiple,,,0.99,,staged,multiple,"Three distinct places: Everett, Kirkland, Monroe"
WA,"Mount Vernon, Mabton",1,169,2 distinct places named,multiple,,,0.99,,staged,multiple,"Two distinct places: Mount Vernon, Mabton"
MD,"10150 York Road, Suite 300 Hunt Valley, MD 21030",1,168,no matching place,county,Baltimore County,,0.95,,staged,did not resolve,"Hunt Valley is an unincorporated community in Baltimore County, MD"
VA,N. Chesterfield VA,1,168,no matching place,county,Chesterfield County,Chesterfield County,0.95,,staged,county-level,"N. Chesterfield is an unincorporated community in Chesterfield County, VA"
WI,Madison and Menomonee Falls,1,168,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places named: Madison and Menomonee Falls
AL,Perdue Hill,1,167,no matching place,county,Monroe County,Monroe County,0.8,,staged,county-level,Perdue Hill is an unincorporated community in Monroe County
GA,Hazelhurst,2,167,no matching place,place,Hazelhurst,,0.99,,staged,did not resolve,Hazelhurst is an incorporated city in Georgia
KY,"Metcalfe, Monroe",1,167,no matching place,multiple,,,0.8,,staged,multiple,Two distinct sites: Metcalfe and Monroe
UT,"Honeyville, Genola, Providence, & Midvale",1,167,4 distinct places named,multiple,,,0.99,,staged,multiple,"Four distinct places named: Honeyville, Genola, Providence, Midvale"
IN,Bloomington and Oolitic,1,166,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places named: Bloomington and Oolitic
AL,Townley,1,165,no matching place,place,Townley,,0.99,,staged,did not resolve,Townley is an incorporated town in Alabama.
MI,"Birmingham, Michigan; Grand Rapids, Michigan; East Grand Rapids, Michigan; Holland, Michigan; Kalamazoo, Michigan; and Northville, Michigan",1,164,5 distinct places named,multiple,,,0.99,,staged,multiple,Multiple distinct cities listed.
NJ,Ortley Beach,1,164,no matching place,county,Ocean County,Ocean County,0.95,,staged,county-level,Ortley Beach is a CDP in Ocean County.
NY,Elmhurst,6,164,no matching place,county,Queens County,Queens County,0.95,"IL,PA",staged,county-level,Elmhurst is a neighborhood in Queens County.
VA,Langley-Eustis VI,1,164,no matching place,county,Hampton,Hampton city,0.8,,staged,county-level,"Langley-Eustis VI likely refers to a military base in Hampton, VA."
MD,"6700A Rockledge Drive, Suite 200 Bethesda, Maryland 20817",1,163,2 distinct places named,county,Montgomery County,Montgomery County,0.99,,staged,county-level,Bethesda is a CDP in Montgomery County.
MI,"Grand Rapids, Michigan and Detroit, Michigan",1,163,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Grand Rapids and Detroit
OH,Franklin (Warren),2,163,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Franklin and Warren
OH,Franklin/Warren,3,163,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Franklin and Warren
MI,"Flint, Michigan; Taylor, Michigan; and Ypsilanti, Michigan",1,162,3 distinct places named,multiple,,,0.99,,staged,multiple,"Three distinct places: Flint, Taylor, Ypsilanti"
AK,"North Slope, Kenai Peninsula, And Valdez",1,161,no matching place,multiple,,,0.99,,staged,multiple,"Three distinct areas: North Slope, Kenai Peninsula, Valdez"
WA,Bellevue & Kirkland,1,161,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct cities: Bellevue and Kirkland
WA,Orondo,2,161,no matching place,county,Douglas County,Douglas County,0.95,,staged,county-level,Orondo is an unincorporated community in Douglas County
CA,BRANSCOMB,2,160,no matching place,county,Mendocino County,Mendocino County,0.95,,staged,county-level,Branscomb is an unincorporated community in Mendocino County
CO,Colo Springs/Pikes Peak,1,160,no matching place,multiple,,,0.7,,staged,multiple,Refers to Colorado Springs and Pikes Peak area
NJ,Baskin Ridge,1,160,no matching place,county,Somerset County,Somerset County,0.95,,staged,county-level,"Misspelling of Basking Ridge, an unincorporated community in Somerset County"
NJ,Peapack & Gladstone,1,160,no matching place,place,Peapack-Gladstone,,0.95,,staged,did not resolve,Single borough consisting of Peapack and Gladstone
NV,"Las Vegas/Sparks, Clark/Washoe",1,160,2 distinct places named,multiple,,,0.99,,staged,multiple,"Two cities (Las Vegas, Sparks) and two counties (Clark, Washoe)"
OH,Fairfield (2) and Hamilton (1)(Butler),1,160,3 distinct places named,multiple,,,0.99,,staged,multiple,"Two cities: Fairfield and Hamilton, both in Butler County"
MI,"Grand Rapids and Livonia, Counties: Kent and Wayne, Number Affected: 159",1,159,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Grand Rapids and Livonia
